MATCHID,TEAM1,TEAM2,SCORES,SETSCORES,ATTACKS1,ATTACKS2,BLOCKS1,BLOCKS2,SERVES1,SERVES2,OPPONENT_ERRORS1,OPPONENT_ERRORS2,TOTAL1,TOTAL2,DIGS1,DIGS2,RECEPTION1,RECEPTION2,SETS1,SETS2
11700,France,Bulgaria,"3
:
0","27-25
25-21
25-23",39,36,7,5,4,4,27,24,77,69,13,11,54,56,74,78
11701,Germany,Australia,"3
:
0","25-19
25-18
25-16",42,28,5,3,5,0,23,22,75,53,34,26,40,53,71,60
11702,Japan,Iran,"3
:
0","25-19
25-22
26-24",45,41,7,8,2,1,22,15,76,65,11,6,50,68,94,85
11703,Serbia,Slovenia,"3
:
1","22-25
25-18
36-34
25-18",66,53,14,9,3,4,25,29,108,95,46,59,79,88,119,110
11704,Netherlands,Russia,"1
:
3","19-25
22-25
25-18
20-25",49,51,6,10,6,10,25,22,86,93,47,49,74,69,88,88
11705,United States,Canada,"3
:
0","25-17
26-24
25-20",43,30,5,6,4,3,24,22,76,61,51,48,54,58,91,81
11706,Poland,Italy,"3
:
0","25-19
25-20
25-18",39,33,8,6,9,0,19,18,75,57,44,47,44,60,30,24
11707,Brazil,Argentina,"3
:
0","31-29
26-24
25-16",44,38,6,13,7,3,25,15,82,69,42,31,55,72,85,76
11708,Germany,France,"2
:
3","25-22
22-25
25-22
16-25
15-17",62,63,12,11,5,5,24,32,103,111,49,58,91,81,47,43
11709,Iran,Russia,"1
:
3","17-25
25-20
20-25
17-25",49,57,3,10,3,4,24,24,79,95,49,55,75,62,30,39
11710,Netherlands,Japan,"2
:
3","25-22
25-23
22-25
17-25
8-15",60,66,6,6,4,2,27,36,97,110,38,31,87,77,114,108
11711,Australia,Bulgaria,"0
:
3","21-25
20-25
20-25",26,34,3,5,1,13,31,23,61,75,46,32,55,51,67,73
11712,Poland,Serbia,"3
:
1","26-24
25-19
21-25
25-15",46,45,13,3,17,6,21,29,97,83,38,48,69,76,92,89
11713,Italy,Slovenia,"0
:
3","23-25
19-25
15-25",32,40,3,4,5,8,17,23,57,75,9,5,60,45,81,74
11714,Argentina,Canada,"0
:
3","17-25
21-25
17-25",27,33,5,7,2,4,21,31,55,75,32,32,60,40,70,56
11715,United States,Brazil,"0
:
3","22-25
23-25
19-25",36,40,9,7,4,6,15,22,64,75,3,6,62,51,82,74
11716,Australia,France,"1
:
3","26-28
25-20
14-25
23-25",47,49,8,10,3,7,30,32,88,98,57,62,79,68,107,100
11717,Netherlands,Iran,"0
:
3","18-25
23-25
28-30",35,44,3,9,5,7,26,20,69,80,43,44,58,58,84,72
11718,Germany,Bulgaria,"3
:
2","19-25
25-21
22-25
30-28
15-11",53,55,12,14,9,10,37,31,111,110,68,57,87,88,119,121
